PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,TaggedPitchType,PitchCall,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,Distance,Bearing,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,MaxHeight,SpeedDrop,CatchPositionX,CatchPositionY,CatchPositionZ,BasePositionX,BasePositionY,BasePositionZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,2021/4/10,2,8,"Soma, Tokuyama",Right,WAS_EDA,"Tetsuya, Nakai",Left,TOK,1,Top,Fastball,InPlay,143.1,-1.5,-3.1,1941.1,227.8,1:30,1.69,0.68,1.92,-46.98,43.43,44.05,0.79,0.24,127.97,-5.08,-0.01,0.43,129.06551,47.092215,-44.429994,4921.198047,69.108195,-65.427646,-25.4524,24.8249,-0.616302,15.24,1.650612,1.936542,-39.258441,-1.17988,-5.012621,9.90499,-4.917604,141.27257,28.943745,15.16166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,2021/4/10,2,9,"Soma, Tokuyama",Right,WAS_EDA,"Tetsuya, Nakai",Left,TOK,1,Top,Fastball,BallCalled,144.4,-0.9,-4.5,1946.8,222.7,1:30,1.66,0.69,1.90,-44.63,42.78,36.90,0.95,-0.22,131.60,-4.30,-1.94,0.42,78.7926,64.366541,-86.22915,4152.620609,29.064056,-110.494311,-22.3597,23.7013,-0.587977,15.24,1.636465,2.973352,-39.635575,-0.802217,-4.590394,8.378667,-4.940831,143.67037,7.9061,12.81126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,2021/4/10,2,10,"Soma, Tokuyama",Right,WAS_EDA,"Tetsuya, Nakai",Left,TOK,1,Top,Splitter,BallCalled,131.6,-1.3,-4.1,1177.0,232.7,1:45,1.66,0.65,1.88,-84.26,20.52,22.85,0.45,-0.27,121.50,-7.45,-2.44,0.46,119.34695,30.503667,33.322699,3146.269109,77.16538,46.673191,-14.5442,12.4327,-0.557733,15.24,1.625924,2.464309,-36.148354,-1.124259,-2.501993,6.490224,-7.667881,131.21754,16.347287,10.0597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,2021/4/10,2,11,"Soma, Tokuyama",Right,WAS_EDA,"Tetsuya, Nakai",Left,TOK,1,Top,Fastball,BallCalled,144.7,-0.1,-2.2,1884.8,230.6,1:45,1.68,0.69,1.97,-50.46,35.68,40.06,1.14,0.47,131.75,-3.93,0.62,0.42,,,,,,,-22.429,19.5716,-0.646744,15.24,1.672425,1.364256,-39.806832,-0.263848,-4.633981,8.628439,-5.763017,144.72801,,12.91217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,2021/4/10,2,12,"Soma, Tokuyama",Right,WAS_EDA,"Tetsuya, Nakai",Left,TOK,1,Top,Fastball,StrikeCalled,144.7,-1.1,-4.2,1906.2,229.5,1:45,1.65,0.72,1.94,-45.84,41.20,44.78,0.89,-0.02,131.30,-4.53,-1.07,0.42,,,,,,,-26.3594,23.0921,-0.632169,15.24,1.628132,2.729503,-39.713647,-0.895791,-5.407135,8.780587,-5.069729,143.97451,,13.38256,-0.372126,0.828821,0.035865,20.41772,2.207706,-17.614873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,2021/4/10,3,1,"Soma, Tokuyama",Right,WAS_EDA,"Shuhei, Ohto",Right,TOK,1,Top,Fastball,FoulBall,143.0,-0.5,-4.5,1994.2,234.7,1:45,1.67,0.66,1.90,-55.59,33.80,43.51,0.96,-0.17,130.06,-4.68,-1.42,0.43,128.93193,17.144441,72.172532,4721.543715,58.567691,84.218951,-25.7835,18.779,-0.564136,15.24,1.651939,2.875954,-39.240093,-0.564336,-5.176701,8.380671,-6.036281,142.06992,6.119683,12.9059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,2021/4/10,3,2,"Soma, Tokuyama",Right,WAS_EDA,"Shuhei, Ohto",Right,TOK,1,Top,Slider,BallCalled,134.7,-1.0,-4.3,2213.4,143.8,10:45,1.70,0.61,1.88,-89.30,11.67,-6.18,0.52,-0.66,123.54,-7.50,-4.69,0.45,,,,,,,0.0816,7.7741,-0.508096,15.24,1.668864,2.779811,-36.970202,-0.982044,0.014548,7.455665,-8.421492,133.67558,,11.16674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2021/4/10,3,3,"Soma, Tokuyama",Right,WAS_EDA,"Shuhei, Ohto",Right,TOK,1,Top,Fastball,StrikeCalled,143.5,-0.9,-3.8,2026.0,228.1,1:30,1.68,0.69,1.92,-48.89,40.00,41.14,0.94,0.02,129.88,-4.55,-0.90,0.43,126.63189,-26.133851,-53.102193,,2.306599,-40.81382,-24.3678,22.3585,-0.60291,15.24,1.655511,2.430976,-39.402035,-0.762481,-4.900933,8.945999,-5.309831,142.46871,0.937878,13.63435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,2021/4/10,1,1,"Shunsuke, Izawa",Right,TOK,"Moeto, Suzuki",Left,WAS_EDA,1,Bottom,Fastball,InPlay,135.1,-2.3,-0.4,2234.6,202.6,12:45,1.74,0.44,1.99,-42.65,57.07,22.29,0.68,0.55,121.94,-5.53,1.19,0.45,,,,,,,-11.873,32.6781,-0.428096,15.24,1.688371,0.160276,-37.115666,-1.565706,-2.107508,8.298104,-4.006154,134.50933,,13.13076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,2021/4/10,1,2,"Shunsuke, Izawa",Right,TOK,"Moeto, Suzuki",Left,WAS_EDA,1,Bottom,Fastball,BallCalled,128.0,1.7,-0.8,2195.3,156.9,11:15,1.74,0.40,1.79,-72.37,42.33,-16.20,1.51,0.01,114.45,-3.67,-1.98,0.48,,,,,,,7.4312,21.3217,-0.381555,15.24,1.773259,0.588512,-35.094233,0.827324,1.171999,7.788839,-6.443947,125.42273,,13.51444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
